,use
2016-07-14 07:23:58,5.898866667
2016-07-14 09:25:58,6.223316667
2016-07-14 19:38:58,0.647983333
2016-07-14 19:45:58,3.846583333
2016-07-14 20:20:58,0.814583333
2016-07-14 20:41:58,0.816883333
2016-07-14 21:14:58,4.877633333
2016-07-14 23:06:58,4.2934
2016-07-14 23:31:58,4.157866667
2016-07-15 00:20:58,4.813133333
2016-07-15 00:27:58,0.936916667
2016-07-15 00:51:58,1.126716667
2016-07-15 01:02:58,6.8653
2016-07-15 01:29:58,1.971416667
2016-07-15 01:49:58,4.438683333
2016-07-15 01:55:58,2.314083333
2016-07-15 02:23:58,4.803166667
2016-07-15 02:28:58,2.974716667
2016-07-15 02:59:58,4.8146
2016-07-15 03:05:58,2.438333333
2016-07-15 03:45:58,3.851366667
2016-07-15 04:37:58,5.963683333
2016-07-15 05:33:58,3.660016667
2016-07-15 05:38:58,2.2946
2016-07-15 06:51:58,3.548666667
2016-07-15 08:36:58,6.208783333
2016-07-15 09:19:58,4.199433333
2016-07-15 10:13:58,3.518166667
2016-07-15 10:14:58,6.417433333
2016-07-15 10:15:58,2.50055
2016-07-15 16:32:58,1.783483333
2016-07-15 16:45:58,4.333883333
2016-07-15 17:06:58,3.617166667
2016-07-15 17:15:58,2.2479
